Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Attribute13,Attribute14,Attribute15,Attribute16,Attribute17,Attribute18,Attribute19,Attribute20,Attribute21,Attribute22,Attribute23
2009-04-03,2,18.4,28.1,8.6,,,W,98.0,E,NNE,7.0,17.0,92.0,49.0,1018.8,1012.9,8.0,6.0,19.0,27.4,Yes,Yes
2009-04-04,2,10.7,21.4,12.6,,,W,43.0,,WSW,0.0,13.0,60.0,33.0,1019.8,1019.3,,,13.9,20.3,Yes,No
2009-04-08,2,8.2,24.0,0.0,,,SSE,17.0,SSE,SSE,7.0,13.0,60.0,30.0,1027.1,1023.4,,,13.8,23.5,No,No
2009-04-19,2,11.2,23.9,0.0,,,SE,31.0,SE,SE,13.0,15.0,54.0,33.0,1022.7,1019.6,,,18.0,23.6,No,No
2009-04-29,2,5.4,12.2,0.0,,,SSE,19.0,SE,SSE,9.0,7.0,62.0,46.0,1023.1,1020.9,,8.0,8.2,12.1,No,No
2009-05-14,2,6.9,16.3,0.0,,,WNW,35.0,WNW,WNW,17.0,19.0,77.0,59.0,1015.3,1013.1,8.0,8.0,10.3,15.3,No,No
2009-05-16,2,12.4,16.4,1.8,,,W,52.0,W,WSW,22.0,24.0,82.0,54.0,1011.8,1013.4,8.0,8.0,13.0,14.5,Yes,No
2009-05-20,2,5.1,18.6,0.0,,,E,13.0,SSE,ENE,2.0,9.0,75.0,57.0,1022.8,1020.5,7.0,7.0,12.4,18.0,No,No
2009-06-13,2,1.8,12.4,0.0,,,ENE,28.0,E,NE,4.0,15.0,86.0,60.0,1018.3,1013.0,,4.0,5.9,12.1,No,No
2009-06-15,2,0.5,14.9,0.4,,,ESE,13.0,NNE,,2.0,0.0,99.0,63.0,1013.9,1012.8,,,5.4,13.9,No,No
2009-06-16,2,1.2,17.7,0.0,,,SE,17.0,,ESE,0.0,6.0,83.0,49.0,1022.3,1022.2,,,6.6,15.4,No,No
2009-06-27,2,8.4,11.9,0.0,,,SSE,22.0,SE,SE,7.0,6.0,79.0,81.0,1007.8,1005.5,8.0,8.0,10.3,11.3,No,Yes
2009-07-09,2,-0.4,15.0,0.2,,,ESE,13.0,,SE,0.0,7.0,84.0,54.0,1032.0,1028.6,,,3.8,14.3,No,No
2009-07-12,2,8.1,16.5,0.6,,,NNW,33.0,SSE,NNW,7.0,19.0,77.0,53.0,1010.4,1007.7,2.0,6.0,11.6,15.4,No,No
2009-07-14,2,6.9,11.0,6.8,,,W,30.0,N,SSW,9.0,9.0,94.0,75.0,1006.6,1005.8,8.0,8.0,7.5,10.1,Yes,Yes
2009-07-18,2,-1.0,12.0,0.0,,,N,20.0,,N,0.0,11.0,98.0,64.0,1023.0,1019.5,7.0,5.0,3.2,11.2,No,No
2009-07-19,2,3.2,14.1,0.6,,,NNE,24.0,ESE,NE,7.0,11.0,94.0,65.0,1021.6,1019.8,8.0,8.0,7.8,13.5,No,No
2009-08-16,2,5.1,15.5,1.6,,,W,39.0,NE,ENE,11.0,11.0,79.0,70.0,1012.2,1006.4,8.0,8.0,11.0,14.3,Yes,Yes
2009-08-20,2,5.5,18.4,0.0,,,N,22.0,ESE,N,6.0,13.0,78.0,51.0,1019.7,1014.3,,,11.1,17.3,No,No
2009-08-26,2,4.2,14.4,3.6,,,NW,43.0,NNW,NW,13.0,30.0,83.0,56.0,1016.1,1014.4,,8.0,6.9,13.6,Yes,No
2009-08-27,2,1.1,16.7,0.4,,,N,30.0,ENE,N,11.0,19.0,72.0,49.0,1018.5,1014.6,,,8.9,16.2,No,No
2009-09-03,2,6.1,20.7,0.0,,,NE,43.0,SE,NE,4.0,24.0,80.0,54.0,1016.6,1010.8,,,10.2,20.3,No,Yes
2009-09-04,2,6.3,16.9,1.4,,,NW,35.0,ESE,WNW,6.0,13.0,85.0,58.0,1014.4,1012.3,1.0,,12.5,15.5,Yes,No
2009-09-06,2,1.6,16.6,0.0,,,NE,37.0,SE,NE,9.0,20.0,79.0,47.0,1018.4,1011.4,,,8.3,15.4,No,No
2009-09-18,2,7.4,20.4,10.2,,,WNW,46.0,,,0.0,0.0,75.0,54.0,1021.2,1018.6,,,12.9,20.3,Yes,No
2009-09-26,2,6.8,12.2,6.0,,,WNW,56.0,WNW,W,37.0,24.0,79.0,72.0,1005.2,1003.9,7.0,6.0,7.9,11.1,Yes,Yes
2009-09-27,2,4.5,12.9,1.6,,,W,61.0,WNW,W,35.0,37.0,78.0,72.0,1009.8,1008.4,5.0,8.0,6.7,10.7,Yes,No
2009-09-28,2,5.5,17.9,0.0,,,W,43.0,W,W,17.0,24.0,79.0,56.0,1012.3,1009.9,,1.0,9.2,16.8,No,No
2009-10-01,2,8.9,21.1,0.0,,,SSW,28.0,N,S,6.0,9.0,76.0,61.0,1012.4,1008.8,,,12.9,19.4,No,No
2009-10-06,2,5.2,16.2,0.0,,,SE,37.0,ENE,SSE,6.0,15.0,85.0,77.0,1020.2,1018.3,2.0,2.0,8.8,10.0,No,Yes
2009-10-08,2,1.2,16.3,0.0,,,ESE,39.0,E,SE,6.0,13.0,65.0,43.0,1024.0,1023.2,,,7.8,15.7,No,No
2009-10-10,2,4.6,19.0,0.0,,,SE,22.0,SE,S,17.0,9.0,55.0,36.0,1029.5,1025.7,,,11.2,17.3,No,No
2009-10-23,2,8.1,23.9,0.0,,,WNW,35.0,ENE,SW,2.0,13.0,70.0,26.0,1019.6,1017.6,,,14.8,23.2,No,No
2009-11-05,2,6.6,25.3,0.0,,,NE,44.0,SE,SE,7.0,26.0,67.0,28.0,1020.5,1017.3,,,14.0,25.3,No,No
2009-11-15,2,17.2,36.3,0.0,,,W,35.0,ENE,W,6.0,22.0,57.0,16.0,1009.8,1006.5,,,23.9,35.4,No,No
2009-11-27,2,15.9,26.2,10.2,,,N,24.0,NE,,11.0,0.0,82.0,56.0,1010.7,1008.6,7.0,5.0,17.6,24.7,Yes,No
2009-11-29,2,12.8,22.3,9.4,,,WNW,46.0,WSW,WNW,6.0,19.0,94.0,54.0,1000.5,1000.9,8.0,4.0,13.5,20.7,Yes,Yes
2009-12-02,2,10.6,27.0,0.0,,,WNW,39.0,SSE,WSW,7.0,9.0,48.0,29.0,1022.0,1018.9,,,16.8,25.5,No,No
2009-12-05,2,10.7,26.7,0.0,,,W,37.0,SE,WSW,2.0,24.0,44.0,22.0,1015.1,1012.9,,,17.6,25.7,No,No
2009-12-16,2,14.6,38.6,0.0,,,NNW,39.0,SSE,NNE,9.0,20.0,45.0,8.0,1017.0,1012.3,,,23.8,36.9,No,No
2009-12-20,2,12.0,31.3,0.0,,,NNW,31.0,SSE,ESE,7.0,7.0,52.0,21.0,1018.1,1013.7,,,20.8,30.4,No,No
2010-01-04,2,14.8,32.8,0.0,,,SW,30.0,ENE,NNW,11.0,9.0,55.0,24.0,1017.5,1013.6,,,21.3,30.6,No,No
2010-01-08,2,17.4,36.4,0.0,,,N,30.0,SE,WNW,6.0,13.0,50.0,19.0,1018.0,1014.6,,,24.6,35.3,No,No
2010-01-18,2,10.5,22.6,0.0,,,SW,52.0,W,WSW,22.0,30.0,44.0,30.0,1007.7,1007.0,2.0,8.0,14.4,20.5,No,No
2010-01-28,2,15.2,34.4,0.0,,,NW,35.0,SE,WNW,2.0,22.0,51.0,8.0,1008.5,1005.2,,,23.1,34.1,No,No
2010-02-08,2,23.0,34.0,0.0,,,NNW,37.0,ESE,ESE,7.0,11.0,66.0,32.0,1020.8,1017.8,7.0,7.0,25.9,33.8,No,No
2010-03-23,2,8.3,27.0,0.0,,,WNW,31.0,S,WNW,6.0,19.0,79.0,23.0,1021.2,1018.6,,,12.1,26.1,No,No
2010-03-26,2,12.6,30.0,0.0,,,WNW,24.0,,WNW,0.0,11.0,80.0,32.0,1019.2,1016.4,,,15.8,29.1,No,No
2010-04-07,2,15.7,23.4,3.0,,,N,30.0,NNE,WNW,17.0,9.0,87.0,69.0,1012.8,1010.5,8.0,3.0,19.2,23.2,Yes,Yes
2010-04-14,2,5.1,21.9,0.0,,,SSE,19.0,E,SSW,9.0,7.0,81.0,49.0,1023.6,1020.1,,,12.5,21.6,No,No
2010-04-16,2,7.7,24.7,0.0,,,SSE,19.0,S,SSE,6.0,11.0,79.0,45.0,1026.5,1023.0,,,13.6,24.1,No,No
2010-04-21,2,12.3,27.5,0.0,,,NW,20.0,ENE,SSW,6.0,7.0,74.0,44.0,1022.8,1019.5,,,18.5,26.4,No,No
2010-04-24,2,15.4,19.8,3.6,,,NNW,46.0,NNE,NNW,11.0,28.0,95.0,86.0,1013.4,1008.7,8.0,8.0,17.1,18.6,Yes,Yes
2010-04-25,2,10.8,18.5,17.0,,,W,37.0,WSW,W,11.0,20.0,72.0,40.0,1016.2,1017.6,,,14.4,18.4,Yes,No
2010-06-04,2,3.1,18.4,0.0,,,W,19.0,,W,0.0,11.0,82.0,53.0,1023.6,1019.4,,,8.7,18.1,No,No
2010-06-17,2,7.4,16.2,11.6,,,W,94.0,NNW,WNW,30.0,30.0,82.0,65.0,1010.0,1010.4,8.0,,13.0,11.0,Yes,Yes
2010-07-03,2,1.0,10.3,0.0,,,NNW,11.0,,SW,0.0,2.0,99.0,76.0,1030.5,1029.8,8.0,,3.7,10.0,No,No
2010-07-06,2,2.3,13.9,5.6,,,SSE,35.0,WNW,W,7.0,15.0,94.0,56.0,1020.9,1019.2,,,6.7,13.8,Yes,No
2010-07-07,2,1.5,13.5,0.0,,,NNE,50.0,,WNW,0.0,7.0,99.0,64.0,1026.9,1025.1,7.0,,3.0,12.6,No,No
2010-07-09,2,0.0,14.6,0.0,,,ENE,15.0,,ESE,0.0,7.0,90.0,57.0,1030.9,1027.1,,,4.8,14.1,No,No
2010-07-27,2,-1.2,15.0,0.2,,,SSE,15.0,,ESE,0.0,7.0,85.0,52.0,1036.1,1031.5,,,4.0,14.7,No,No
2010-08-07,2,-0.6,13.1,0.2,,,ESE,15.0,,SW,0.0,9.0,83.0,54.0,1026.9,1023.3,,8.0,4.6,12.7,No,No
2010-08-18,2,1.3,11.8,0.2,,,ENE,31.0,,NE,0.0,20.0,92.0,86.0,1016.9,1006.3,4.0,8.0,5.0,8.7,No,Yes
2010-08-31,2,2.9,14.2,0.0,,,N,20.0,S,NE,6.0,13.0,89.0,61.0,1024.8,1020.4,,6.0,7.2,13.4,No,No
2010-09-05,2,9.8,14.2,20.8,,,NNW,72.0,NW,W,22.0,19.0,81.0,67.0,1011.7,1013.8,8.0,7.0,10.6,13.2,Yes,Yes
2010-09-17,2,4.3,14.3,0.2,,,SW,39.0,W,WSW,13.0,20.0,76.0,54.0,1024.0,1021.9,,5.0,8.8,13.7,No,No
2010-10-04,2,8.2,23.2,0.0,,,NE,35.0,WNW,NNW,6.0,15.0,85.0,52.0,1024.6,1020.4,,,13.2,22.5,No,No
2010-10-07,2,7.3,15.9,10.0,,,WSW,46.0,W,WSW,20.0,26.0,64.0,42.0,1020.0,1020.7,,,10.0,15.5,Yes,No
2010-10-17,2,6.3,15.4,0.0,,,WNW,35.0,WNW,NW,15.0,17.0,77.0,56.0,1016.1,1016.3,7.0,8.0,9.5,14.7,No,No
2010-10-19,2,4.8,19.0,0.0,,,WNW,22.0,W,WSW,6.0,11.0,78.0,49.0,1026.0,1024.8,,4.0,10.9,18.2,No,No
2010-10-20,2,5.7,21.8,0.0,,,SE,20.0,,SSE,0.0,11.0,80.0,51.0,1028.7,1025.0,,,11.9,19.9,No,No
2010-11-01,2,10.2,18.9,1.2,,,W,35.0,W,W,6.0,19.0,79.0,52.0,1016.5,1013.8,7.0,1.0,12.5,17.5,Yes,No
2010-11-03,2,10.7,18.0,0.0,,,WNW,35.0,W,WNW,9.0,26.0,63.0,49.0,1019.3,1018.2,,5.0,14.4,16.9,No,No
2010-11-06,2,7.5,22.9,0.0,,,ENE,31.0,SE,NNE,15.0,6.0,59.0,42.0,1022.6,1018.6,,,14.4,20.9,No,No
2010-11-08,2,14.7,24.7,2.2,,,NW,31.0,N,WSW,11.0,20.0,71.0,64.0,1013.8,1014.7,7.0,4.0,19.4,23.4,Yes,No
2010-11-09,2,11.6,27.7,0.0,,,SSW,46.0,SE,S,7.0,11.0,69.0,47.0,1024.3,1021.4,,1.0,18.4,26.0,No,No
2010-11-15,2,15.9,23.1,2.4,,,W,37.0,W,W,19.0,19.0,84.0,32.0,1014.3,1011.7,7.0,,16.7,22.6,Yes,No
2010-11-19,2,12.1,25.5,0.0,,,SE,26.0,SSE,S,17.0,11.0,56.0,39.0,1020.9,1019.8,,,17.1,24.2,No,No
2010-12-03,2,15.7,27.3,18.4,,,NNE,41.0,SE,S,13.0,15.0,71.0,75.0,1014.6,1011.3,,,21.3,21.4,Yes,Yes
2010-12-16,2,15.1,25.6,0.4,,,W,43.0,W,WSW,20.0,26.0,72.0,21.0,1004.6,1003.8,,,17.6,24.7,No,No
2010-12-25,2,19.3,29.1,0.0,,,SSE,35.0,NE,N,15.0,24.0,60.0,72.0,1014.6,1009.9,,8.0,23.2,23.4,No,No
2011-01-12,2,21.5,28.9,5.0,,,NE,44.0,NE,NW,19.0,11.0,66.0,84.0,1006.9,1006.2,8.0,,25.5,24.5,Yes,Yes
2011-01-20,2,16.1,31.9,0.0,,,E,22.0,SSE,NNE,13.0,13.0,63.0,38.0,1011.8,1009.4,,,21.4,29.5,No,No
2011-01-27,2,14.3,31.6,0.0,,,WSW,39.0,,WSW,0.0,19.0,60.0,30.0,1014.5,1013.7,,,19.8,29.5,No,No
2011-01-31,2,19.9,38.2,0.0,,,S,24.0,SSE,S,7.0,17.0,56.0,25.0,1015.3,1011.4,,,25.3,37.3,No,No
2011-02-06,2,14.7,21.5,51.0,,,WSW,43.0,WNW,W,19.0,22.0,81.0,45.0,1017.0,1019.6,8.0,,14.7,19.1,Yes,No
2011-02-10,2,17.0,29.7,0.0,,,N,28.0,SSE,ENE,9.0,17.0,79.0,55.0,1020.1,1016.1,2.0,,19.8,27.9,No,Yes
2011-02-28,2,17.9,30.0,11.8,,,SE,20.0,SSE,ESE,7.0,11.0,85.0,55.0,1007.8,1003.7,4.0,7.0,20.4,28.5,Yes,No
2011-03-06,2,9.6,25.3,0.0,,,E,22.0,,S,0.0,9.0,68.0,38.0,1025.8,1022.8,,,15.0,23.6,No,No
2011-03-07,2,10.6,26.6,0.0,,,SE,31.0,ESE,NNE,4.0,9.0,73.0,42.0,1023.9,1019.2,,,16.2,25.8,No,No
2011-03-14,2,18.2,26.9,19.8,,,SSE,19.0,S,SE,7.0,7.0,96.0,61.0,1021.3,1019.2,7.0,,19.6,26.2,Yes,No
2011-03-15,2,16.3,28.4,0.2,,,E,24.0,SE,NE,7.0,11.0,81.0,56.0,1020.3,1017.0,,,19.4,26.6,No,No
2011-05-06,2,2.8,16.8,0.0,,,SSW,13.0,,SSE,0.0,7.0,76.0,53.0,1025.4,1021.5,,,8.1,15.9,No,No
2011-05-13,2,3.8,14.1,5.0,,,W,35.0,WNW,WNW,11.0,20.0,98.0,74.0,1015.0,1012.3,8.0,6.0,9.0,13.2,Yes,Yes
2011-05-26,2,1.3,14.9,0.0,,,WSW,26.0,,WSW,0.0,20.0,75.0,52.0,1020.5,1018.6,,,6.6,13.6,No,No
2011-06-04,2,8.5,14.8,8.8,,,W,24.0,W,WNW,9.0,11.0,95.0,72.0,1016.3,1015.6,8.0,1.0,10.9,13.8,Yes,No
2011-06-26,2,3.2,15.7,0.0,,,NE,24.0,NE,NNW,6.0,13.0,99.0,55.0,1029.2,1025.1,8.0,,5.7,14.6,No,No
2011-07-01,2,0.3,14.1,0.0,,,E,13.0,SE,SE,2.0,4.0,99.0,59.0,1033.6,1028.7,8.0,,3.9,13.8,No,No
2011-07-12,2,5.7,10.5,0.0,,,NW,28.0,,NW,0.0,19.0,83.0,64.0,1025.4,1023.4,8.0,7.0,7.7,9.8,No,No
2011-07-16,2,0.2,14.1,0.0,,,SE,20.0,,E,0.0,9.0,78.0,56.0,1031.3,1026.3,,5.0,5.3,13.7,No,No
2011-07-28,2,0.2,13.1,0.0,,,SE,41.0,ESE,S,6.0,6.0,99.0,59.0,1031.0,1027.6,,,2.9,12.6,No,No
2011-08-27,2,0.8,16.8,0.0,,,WSW,31.0,ESE,W,2.0,17.0,71.0,42.0,1023.7,1019.9,,,8.2,16.4,No,No
2011-09-02,2,2.8,20.4,0.0,,,ESE,17.0,SE,E,7.0,7.0,65.0,31.0,1028.4,1025.3,,,10.4,19.6,No,No
2011-09-21,2,1.7,18.2,3.6,,,W,30.0,,WNW,0.0,17.0,99.0,53.0,1022.6,1020.3,8.0,5.0,7.8,18.0,Yes,No
2011-09-25,2,8.6,19.8,1.0,,,SSE,43.0,S,E,15.0,9.0,53.0,36.0,1022.2,1020.5,,,13.7,18.9,No,No
2011-10-06,2,10.2,16.0,0.0,,,SW,13.0,S,S,9.0,4.0,87.0,80.0,1014.8,1012.6,,8.0,13.0,15.0,No,Yes
2011-10-09,2,10.7,18.6,0.0,,,WSW,46.0,W,WNW,13.0,28.0,89.0,57.0,1010.1,1007.4,8.0,5.0,12.6,18.4,No,Yes
2011-10-18,2,5.2,23.7,0.0,,,NNW,22.0,SE,WNW,7.0,7.0,69.0,35.0,1033.4,1029.7,,,12.7,23.0,No,No
2011-10-26,2,11.7,23.3,0.0,,,N,28.0,E,SE,7.0,9.0,57.0,46.0,1020.2,1018.3,,,16.2,21.9,No,No
2011-11-12,2,12.5,27.0,0.0,,,W,33.0,ENE,WSW,6.0,19.0,65.0,32.0,1019.0,1016.0,,,18.8,26.7,No,No
2011-12-09,2,13.6,29.1,0.0,,,ENE,33.0,SE,ENE,11.0,13.0,62.0,32.0,1012.6,1009.3,,,20.7,28.4,No,No
2011-12-21,2,18.6,28.5,0.0,,,ENE,39.0,SE,E,13.0,13.0,56.0,47.0,1015.3,1013.1,,1.0,21.7,26.0,No,No
2011-12-28,2,15.2,29.4,0.0,,,WNW,26.0,SE,WSW,15.0,13.0,50.0,40.0,1012.7,1010.2,,,20.0,26.6,No,No
2012-01-02,2,17.8,36.0,0.0,,,SSW,24.0,ESE,S,9.0,15.0,57.0,30.0,1016.5,1012.9,,,25.5,35.0,No,No
2012-01-07,2,11.7,33.4,0.0,,,NNE,31.0,ENE,NE,15.0,9.0,47.0,19.0,1011.7,1007.5,,,21.6,30.7,No,Yes
2012-01-19,2,17.8,36.1,0.4,,,WSW,28.0,SE,NW,11.0,11.0,59.0,26.0,1015.7,1012.8,1.0,,24.8,34.2,No,No
2012-01-26,2,17.5,36.4,0.0,,,E,28.0,SE,WSW,9.0,7.0,38.0,24.0,1013.6,1010.0,,,24.4,34.9,No,No
2012-01-28,2,19.9,34.5,0.0,,,NE,31.0,SSE,S,6.0,6.0,56.0,29.0,1014.1,1008.7,,,24.9,32.4,No,No
2012-02-23,2,13.7,32.4,0.0,,,WNW,31.0,,SW,0.0,17.0,73.0,29.0,1019.5,1017.6,,,18.4,30.5,No,No
2012-02-29,2,19.5,24.8,0.6,,,SSE,24.0,SSE,SE,7.0,11.0,74.0,69.0,1013.0,1011.1,,8.0,20.5,23.5,No,Yes
2012-03-13,2,13.7,29.9,0.0,,,NW,31.0,ESE,NNE,7.0,19.0,77.0,45.0,1019.2,1016.1,,8.0,18.4,28.0,No,No
2012-03-27,2,10.6,22.0,0.0,,,S,13.0,SSE,N,4.0,6.0,86.0,57.0,1022.7,1020.6,,,13.5,21.1,No,No
2012-05-02,2,7.6,16.3,0.0,,,W,30.0,NE,WNW,17.0,22.0,94.0,89.0,1021.7,1019.5,7.0,8.0,14.2,15.8,No,Yes
2012-05-03,2,2.0,14.7,1.6,,,W,30.0,W,WNW,19.0,20.0,80.0,53.0,1022.9,1020.8,,1.0,8.1,13.8,Yes,No
2012-05-18,2,2.3,15.3,0.0,,,NE,13.0,E,E,6.0,7.0,94.0,65.0,1025.9,1023.0,,,6.9,14.8,No,No
2012-05-27,2,5.7,15.4,0.4,,,W,20.0,S,W,2.0,13.0,100.0,63.0,1023.5,1022.2,8.0,1.0,7.0,15.0,No,No
2012-05-29,2,1.7,17.4,0.0,,,W,15.0,,W,0.0,9.0,92.0,56.0,1033.8,1031.9,,,7.3,16.4,No,No
2012-06-08,2,-0.8,13.9,0.2,,,WSW,13.0,S,NNW,4.0,4.0,96.0,54.0,1027.5,1025.5,,,3.2,13.3,No,No
2012-06-18,2,1.3,12.7,0.0,,,W,22.0,,WNW,0.0,11.0,96.0,75.0,1024.7,1023.5,,8.0,5.6,11.3,No,Yes
2012-06-26,2,2.4,14.3,1.0,,,SE,22.0,,SE,0.0,7.0,100.0,67.0,1031.2,1028.6,,8.0,6.8,12.8,No,No
2012-07-06,2,-2.0,12.9,0.0,,,ESE,13.0,,SSE,0.0,2.0,87.0,53.0,1036.5,1032.9,,,3.7,12.9,No,No
2012-07-21,2,1.4,15.3,0.0,,,SW,15.0,E,SSW,2.0,7.0,100.0,53.0,1033.1,1030.3,8.0,,5.2,14.8,No,No
2012-07-26,2,7.0,14.8,2.4,,,N,37.0,N,NNW,11.0,15.0,91.0,55.0,1013.0,1010.8,7.0,,10.4,14.4,Yes,Yes
2012-07-31,2,-1.3,13.9,0.0,,,SSE,20.0,,ENE,0.0,9.0,80.0,47.0,1029.1,1025.5,,,4.8,12.4,No,No
2012-08-13,2,-0.1,15.4,0.0,,,NNW,20.0,S,SE,4.0,11.0,89.0,61.0,1028.8,1024.2,,5.0,6.7,13.9,No,No
2012-08-23,2,8.2,13.6,1.0,,,NW,43.0,WNW,WSW,24.0,2.0,79.0,96.0,1007.3,1004.1,8.0,7.0,11.8,11.7,No,Yes
2012-09-04,2,4.3,21.2,0.0,,,N,22.0,ENE,N,6.0,13.0,76.0,36.0,1023.5,1019.1,,,11.9,20.7,No,No
2012-09-07,2,6.8,13.8,2.6,,,W,67.0,WNW,WNW,35.0,33.0,86.0,59.0,1006.8,1008.8,8.0,8.0,8.0,12.4,Yes,Yes
2012-09-12,2,2.6,20.9,0.0,,,N,28.0,SE,N,4.0,13.0,80.0,37.0,1021.2,1015.2,,,11.3,20.6,No,Yes
2012-09-13,2,9.1,15.5,1.6,,,W,57.0,W,WSW,22.0,33.0,67.0,46.0,1010.4,1011.9,,,11.8,14.6,Yes,No
2012-09-20,2,10.4,22.1,0.4,,,W,39.0,SE,E,9.0,26.0,87.0,50.0,1018.0,1010.6,7.0,6.0,14.0,21.4,No,No
2012-10-13,2,4.0,18.6,0.0,,,WNW,41.0,E,W,6.0,19.0,76.0,43.0,1022.1,1020.3,,7.0,10.2,17.3,No,No
2012-10-18,2,5.5,22.6,0.0,,,WNW,26.0,E,N,4.0,7.0,79.0,43.0,1020.5,1018.0,,,12.8,21.8,No,No
2012-10-21,2,7.9,20.7,0.0,,,WSW,48.0,W,WSW,6.0,26.0,72.0,35.0,1015.5,1014.3,,,15.3,20.1,No,No
2012-10-25,2,12.7,23.8,0.0,,,W,44.0,N,W,19.0,30.0,40.0,45.0,1009.7,1009.5,,3.0,20.6,22.6,No,No
2012-11-07,2,18.4,20.0,10.6,,,NNW,24.0,NE,WNW,11.0,13.0,95.0,93.0,1011.2,1008.9,8.0,8.0,19.4,19.4,Yes,Yes
2012-11-09,2,10.3,21.8,1.6,,,WNW,44.0,W,W,19.0,22.0,68.0,37.0,1017.5,1017.1,,,16.0,20.9,Yes,No
2012-11-14,2,9.9,24.6,0.0,,,NNW,24.0,E,SE,6.0,9.0,61.0,35.0,1017.8,1014.6,,,16.8,23.1,No,No
2012-11-29,2,17.8,37.4,0.0,,,NNE,35.0,E,E,19.0,17.0,56.0,35.0,1012.4,1008.4,4.0,,27.5,35.4,No,No
2013-01-05,2,19.8,43.4,0.0,,,NW,81.0,S,ESE,7.0,11.0,36.0,17.0,1012.4,1009.8,,1.0,30.7,42.4,No,Yes
2013-01-07,2,21.9,40.4,0.0,,,NNW,41.0,E,ENE,11.0,24.0,47.0,22.0,1018.2,1012.4,,,29.7,38.2,No,No
2013-01-09,2,13.3,25.1,0.0,,,WSW,52.0,WSW,NW,20.0,22.0,46.0,27.0,1002.4,1002.1,,,17.0,23.9,No,No
2013-01-11,2,14.5,38.8,0.0,,,NNW,37.0,SE,NNW,7.0,19.0,48.0,12.0,1007.6,1004.1,,,23.0,36.4,No,No
2013-01-20,2,16.4,34.6,0.0,,,ENE,22.0,S,S,13.0,11.0,51.0,32.0,1014.5,1010.5,,,23.3,32.9,No,No
2013-01-24,2,15.9,37.0,0.0,,,NNW,46.0,ESE,NE,9.0,15.0,56.0,23.0,1015.2,1010.4,,,24.1,35.0,No,No
2013-01-26,2,21.6,36.5,0.0,,,ENE,46.0,S,WNW,11.0,11.0,50.0,33.0,1009.9,1004.5,1.0,6.0,25.8,36.3,No,No
2013-01-27,2,15.3,32.9,0.0,,,WNW,31.0,WSW,SW,15.0,15.0,60.0,20.0,1008.5,1005.3,,,18.4,31.8,No,No
